trial_id,num_factors,scaling_items,scaling_users,recall
0,114,0.03876086074810568,0.6427546603039754,0.20971837403710375
1,74,0.03621704790605997,0.6279150554103597,0.21003372994485411
2,135,0.03916819856063838,0.560332229080396,0.20654158533072597
3,119,0.026336335537347936,0.678679920739693,0.21157770062068684
4,12,0.011550836327304697,0.40997619845751565,0.18311992476630115
5,148,0.03439393750166291,0.6683634384622426,0.2082258345408729
6,83,0.00716560609416764,0.6420227381048748,0.21354096374807305
7,67,0.0037352500497704446,0.6261179007560637,0.21098711974918904
8,141,0.027533791140253,0.6629250123874395,0.21081392389453368
9,150,0.034412615354803146,0.45285160960182197,0.20224879227665205
10,46,0.0018654530316765386,0.5547188172068096,0.20770894159700104
11,105,0.020018809872842942,0.6933045400578828,0.21193274752163632
12,96,0.015171265560930073,0.6997538023075761,0.21126340866726023
13,97,0.011209226969716251,0.592468825795172,0.2154968094263102
14,52,0.008161562059413607,0.5906567341321487,0.2078048325682198
15,90,0.015250743743015344,0.5192872626259784,0.21535726725507484
16,85,0.017099636270051233,0.4979908462650897,0.2150753007903976
17,56,0.020039364391861658,0.5080772006374771,0.21260563073424937
18,33,0.012761539307524737,0.5047735724484883,0.20294485260028475
19,123,0.02332809703924445,0.6018597257015474,0.21228685088993027
20,100,0.008015979950369994,0.5276505506833273,0.21563090778681762
21,94,0.007942001164746599,0.541415166525651,0.2169519176996632
22,103,0.0072907073048609945,0.5855546877480066,0.21630903183364877
23,107,0.006235814541680573,0.5346944768233083,0.21703582797537183
24,111,0.003640286603846659,0.4697988134284177,0.21585675307732982
25,127,0.00024769113432750005,0.5756593458837204,0.21708138747303432
26,129,0.0011514203559592866,0.5399862133827519,0.21602580966185872
27,131,0.000502087834274109,0.474462815631183,0.2138859753552756
28,69,0.005734048563183599,0.5673638702294518,0.21397250168043178
29,114,0.004275761352060175,0.5413497330647302,0.21651386682536397
30,121,0.009762017562070232,0.5693427182411401,0.21587525245917902
31,113,0.004465622374527014,0.5361377972254694,0.2165334149030289
32,108,5.705019970974384e-05,0.6106573703853679,0.21758621583140586
33,92,0.0003113480098415819,0.6160515155175024,0.21597811338076514
34,108,0.0021635148659198337,0.571132864020547,0.2179395242751323
35,138,0.002343799919768608,0.574115943208151,0.21539781559674737
36,108,0.00010956422387007559,0.6033443033491511,0.21777762142634413
37,77,0.002591982189520985,0.6143670835891284,0.2137289872376002
38,125,0.005127521077965073,0.6493931262258855,0.2153241780078415
39,143,0.00015204181172688965,0.6370256589109365,0.21593637960336642
40,133,0.0025248519081786935,0.6048856742652036,0.2166935553730256
41,110,0.005612853168108067,0.55770895391847,0.21635638039486454
42,119,1.7797528714141626e-05,0.5849204719383279,0.2173316711992332
43,117,0.0028364112044985085,0.5793233609153403,0.21689684929915148
44,125,0.02744828916178564,0.6261791654375611,0.21123793778138586
45,116,0.00013297604843821555,0.6023807264242427,0.21707708896456204
46,104,0.031626650476213734,0.6574122959893004,0.21087626927923847
47,143,0.0019865072745133706,0.6175389517343934,0.2154682445493057
48,87,0.009724937308595484,0.6412476785779488,0.21366888309579704
49,128,0.03758221376775466,0.5545923597722213,0.20757482958877108
50,119,0.003677285854194977,0.6751901975445171,0.2148712650502398
51,117,0.0002455513680041721,0.5988324413293596,0.21731041758036812
52,101,0.001492342420788247,0.589567387687392,0.21741313234851156
53,98,0.0017134278555533456,0.5959133890758231,0.2176071619223523
54,98,0.0038649733750910067,0.5898985262671992,0.2173731359935478
55,80,0.006506392491124217,0.6308804841154827,0.21356633415075582
56,99,0.004455765218613591,0.611488505699124,0.21651094461898385
57,89,0.009481549794718809,0.5913006614141955,0.2156993563857131
58,100,0.0018326020061302305,0.41402009128566253,0.21431412762904398
59,106,0.013969066019194617,0.5655776756372336,0.2156667554368501
60,94,0.0033576097878605807,0.596605276627872,0.21684069374067977
61,109,0.0015382590218103206,0.5910436815386029,0.21711198714801822
62,84,0.0015085417690207626,0.5861845703314579,0.21619360052386885
63,104,0.0236792274859392,0.5825698764526037,0.21303491839688196
64,99,0.005039010659883929,0.5516362340471499,0.21678166251057956
65,31,0.0032147329486747556,0.6097445755109021,0.19635065494840118
66,70,0.00700096053749749,0.6199660948182663,0.21190762489651646
67,95,0.00140700823953252,0.5773288919024083,0.2173827713738191
68,94,0.001470873318451043,0.569132715681611,0.21770633098476586
69,93,0.018276657698812725,0.5649580713899418,0.21457573718707437
70,82,0.011380063279251632,0.547032788995107,0.2161800968966447
71,97,0.0038906581429272212,0.5783466484141969,0.2168612230494998
72,89,0.0015734767083938075,0.5729435401269586,0.21717754888398097
73,102,0.0014685345752718938,0.605060348767394,0.21670290351009358
74,108,0.00563212894990439,0.5628198934336153,0.21732368598452784
75,112,0.0026484638033141272,0.5965225060869997,0.2170425984753821
76,96,0.008887160267997487,0.6280601157432101,0.21474394401903144
77,90,0.004526288948946054,0.5729211131927221,0.2168474505451991
78,78,0.001225877766897291,0.5142973798818132,0.21758065964753737
79,63,0.0009229528930380769,0.5188814639628726,0.21532942258381885
80,75,0.007664338098618107,0.4930500924816027,0.21682313576782364
81,85,0.002965202260448717,0.526364241246053,0.21787431650728545
82,78,0.002632024786380616,0.5298353193484783,0.21702163481293774
83,85,0.0010736202941022768,0.5185520290430861,0.21827927228760408
84,70,0.002982443679248205,0.5178320316316851,0.2163484591836263
85,87,0.0011467581740686006,0.522169349879063,0.21789542538979814
86,64,6.903834091445147e-05,0.4972310974066101,0.21616215949923503
87,86,0.006403233332039383,0.5454868933323527,0.21674896841918861
88,81,0.004627368720817666,0.5103094403876482,0.21718845279258278
89,84,0.0007217390788933293,0.48600440103176756,0.217958681535878
90,74,0.0025656914995404656,0.4580691847547981,0.21726638378516316
91,86,0.0007166184886136424,0.49149092845365105,0.21783369803940297
92,85,0.0008583885550759755,0.4839252460432715,0.2182366371419556
93,85,0.031238259504078644,0.48488537386797553,0.21107135852625394
94,91,0.0035005951139602865,0.4714505636793394,0.21683858931816208
95,74,0.0007693646970773011,0.5267467957595433,0.21707357716062264
96,88,0.03993908276984192,0.482741653709648,0.20896886363302353
97,83,0.002121995470097175,0.5007886217010304,0.2177880682791664
98,83,0.002279609228952798,0.5011102084221719,0.21775956388288775
99,83,0.002406588008867524,0.503931155129343,0.21771647011518902
