trial_id,recall,alpha,topK
0,0.2326915886600319,0.11425067841263326,84
1,0.2312522190396879,0.1447727006956549,76
2,0.23258964631626097,0.13196817750315928,85
3,0.2314226258032015,0.13915482066363544,77
4,0.23228656199702802,0.1379757949168183,115
5,0.2329912956408308,0.09477866261264584,94
6,0.23314608873221965,0.11247754250714513,86
7,0.23295758552033569,0.11702797180510556,108
8,0.23318140738280707,0.11521729411806246,104
9,0.2330003666493936,0.09889718069610479,96
10,0.2330000201758462,0.1673368162480849,104
11,0.23298781299671179,0.10616396029272149,96
12,0.23326363330782085,0.11031970793073005,88
13,0.23314258959125517,0.12561477257247183,103
14,0.23327728881546078,0.10357429058325811,90
15,0.23333821283208112,0.09060479874342836,90
16,0.23324485931049738,0.09298426288305156,91
17,0.23259821711040324,0.10269511431168049,81
18,0.23322634870768474,0.09072578113951808,91
19,0.23315833689088633,0.09883869667187936,100
20,0.23300883101484543,0.09010695251651436,82
21,0.23324069922909577,0.10460355968543017,91
22,0.23327250622141155,0.10901559311473,88
23,0.2332121624808971,0.09785170068957244,88
24,0.23321765142226356,0.10690690005112165,93
25,0.2322460106663795,0.12368770989685547,80
26,0.23314627623812606,0.10050027999923698,98
27,0.23322395971655618,0.1200164146599319,90
28,0.2332851582520997,0.09515271024498986,88
29,0.23328086811931223,0.09380513796694985,84
30,0.23310820983015676,0.09549784639888906,83
31,0.23342322592518108,0.093704082726375,87
32,0.23241625657080492,0.09308217746761308,78
33,0.23351349870379376,0.0965727619126704,85
34,0.23350711581513672,0.09687039043025615,85
35,0.23130060048392204,0.15877842740111164,75
36,0.23342842604430314,0.10034317991381818,86
37,0.23341104002768726,0.10014127303307646,85
38,0.23235091279647987,0.10220491970745522,79
39,0.23346373308230212,0.09683522502836764,86
40,0.23219076842760603,0.1341045471374004,83
41,0.2334692253520892,0.0966979621617995,86
42,0.23335085195264735,0.09739826132420629,84
43,0.23334606871315738,0.10827066852716703,86
44,0.2321904723002124,0.09651457339547245,76
45,0.23230329526345783,0.10191857311804338,112
46,0.23324542927799205,0.11132381945616605,86
47,0.23319376649270515,0.10542344681230892,93
48,0.23270206233481958,0.09915135842931097,81
49,0.23156815666661507,0.15032214086765153,79
50,0.2329572704281783,0.09149615491098848,94
51,0.2334220475284164,0.09442240676996795,87
52,0.23350672461944613,0.09694293907819874,85
53,0.233508041296477,0.0969300074233596,85
54,0.2329343511876394,0.09661095419278792,82
55,0.23323919209260033,0.10391526795552783,89
56,0.23331109766469932,0.09241564117017463,84
57,0.23262127138051789,0.11383170981064723,82
58,0.23348681084933426,0.09802286559447103,85
59,0.2326547947879834,0.1018051691246864,80
60,0.23315764525342547,0.10644897789819467,92
61,0.2334940813153572,0.09754842920649498,85
62,0.2334817034041452,0.09828882940381618,85
63,0.23329570655357618,0.10032603382962689,89
64,0.23334179111859515,0.09024742959277562,84
65,0.23271747873786577,0.0985905707543518,81
66,0.2335152281575373,0.092514925195894,85
67,0.233121042241185,0.09489643291568442,83
68,0.23320795270916062,0.09108497843136644,89
69,0.23344395744066335,0.09259286471025319,87
70,0.23268764543837275,0.09476313115410047,80
71,0.23348473384383334,0.0983870176285228,85
72,0.23318353643017034,0.10379873083700729,85
73,0.23297227102670842,0.09260485074129038,82
74,0.233221829297905,0.09575913503666768,88
75,0.23335185473923864,0.10150819075754933,85
76,0.23295266305367796,0.09858814196424015,83
77,0.23150113139143563,0.14468696664345967,78
78,0.23322343107457444,0.10022454134941428,90
79,0.23323947155258465,0.11740171450305703,87
80,0.23350666959534433,0.09357022425679207,85
81,0.2335089502060749,0.09380194924162875,85
82,0.2334498521494921,0.09334403205045409,87
83,0.23331114458682362,0.09529535237657279,84
84,0.23324037521103164,0.09163188209346745,83
85,0.23349238116112908,0.09398978012280848,86
86,0.23310316752435284,0.09368278625793508,101
87,0.2328409120156641,0.09692942105299561,107
88,0.23308523567088427,0.12720700689582026,89
89,0.232741100693694,0.0917886842109984,81
90,0.2332124336675065,0.09595853313625226,88
91,0.23347851718208706,0.09005729023035457,86
92,0.23352714649619682,0.09422603496360869,85
93,0.23328050641947437,0.09378301790812607,84
94,0.23296287737611995,0.09468649825702444,82
95,0.23341031154393194,0.09676187166277396,87
96,0.23327965403577658,0.09936486987043121,91
97,0.2331819312305335,0.09218726834110824,83
98,0.23345274348394604,0.09591103796066092,86
99,0.23308879139646477,0.09425727836169484,96
