                                Feature  Importance
4                     SLIMElastic_Score       643.0
6                          EASE_R_Score       352.0
8                         RP3beta_Score       337.0
2                            IALS_Score       316.0
73          Ratio_SLIMElastic_ItemKNNCF       292.0
18       StdSimilarityToSeenSLIMElastic       290.0
65                   Ratio_IALS_RP3beta       286.0
16       AvgSimilarityToSeenSLIMElastic       280.0
5              SLIMElastic_RankPosition       279.0
0                                UserID       264.0
40                   IALS_User_Latent_0       252.0
51             User_Std_Item_Popularity       251.0
17       MaxSimilarityToSeenSLIMElastic       247.0
71                 Ratio_IALS_ItemKNNCF       241.0
39                      mainstream_item       241.0
38                      mainstream_user       240.0
63               Ratio_IALS_SLIMElastic       237.0
10                        P3alpha_Score       232.0
52                Pop_Diff_Item_UserAvg       229.0
28         StdSimilarityToSeenItemKNNCF       228.0
32                    Mean_RankPosition       221.0
53                    SVD_User_Latent_0       218.0
11                 P3alpha_RankPosition       218.0
3                     IALS_RankPosition       217.0
44                   IALS_User_Latent_4       214.0
36                      item_popularity       207.0
34                    Skew_RankPosition       204.0
19      SkewSimilarityToSeenSLIMElastic       200.0
62                    SVD_Item_Latent_4       199.0
48                   IALS_Item_Latent_3       195.0
22               MaxSimilarityToSeenRP3       194.0
27         MaxSimilarityToSeenItemKNNCF       190.0
42                   IALS_User_Latent_2       189.0
47                   IALS_Item_Latent_2       188.0
45                   IALS_Item_Latent_0       186.0
37                     user_profile_len       185.0
14                      ItemKNNCF_Score       185.0
49                   IALS_Item_Latent_4       183.0
7                   EASE_R_RankPosition       183.0
1                                ItemID       179.0
20  KurtosisSimilarityToSeenSLIMElastic       178.0
55                    SVD_User_Latent_2       177.0
67      Ratio_ScaledPureSVD_SLIMElastic       174.0
12                  ScaledPureSVD_Score       174.0
41                   IALS_User_Latent_1       174.0
35                Kurtosis_RankPosition       173.0
46                   IALS_Item_Latent_1       172.0
26         AvgSimilarityToSeenItemKNNCF       170.0
43                   IALS_User_Latent_3       169.0
29        SkewSimilarityToSeenItemKNNCF       164.0
21               AvgSimilarityToSeenRP3       155.0
24              SkewSimilarityToSeenRP3       154.0
23               StdSimilarityToSeenRP3       153.0
57                    SVD_User_Latent_4       152.0
56                    SVD_User_Latent_3       152.0
15               ItemKNNCF_RankPosition       148.0
61                    SVD_Item_Latent_3       146.0
60                    SVD_Item_Latent_2       146.0
72                  Diff_IALS_ItemKNNCF       144.0
69          Ratio_ScaledPureSVD_RP3beta       144.0
54                    SVD_User_Latent_1       142.0
9                  RP3beta_RankPosition       139.0
30    KurtosisSimilarityToSeenItemKNNCF       139.0
74           Diff_SLIMElastic_ItemKNNCF       138.0
59                    SVD_Item_Latent_1       137.0
50                        Rank_Variance       136.0
58                    SVD_Item_Latent_0       133.0
68       Diff_ScaledPureSVD_SLIMElastic       131.0
33                     Std_RankPosition       129.0
64                Diff_IALS_SLIMElastic       117.0
25          KurtosisSimilarityToSeenRP3       117.0
13           ScaledPureSVD_RankPosition       110.0
70           Diff_ScaledPureSVD_RP3beta       105.0
66                    Diff_IALS_RP3beta        99.0
31                  Counter_Recommended        78.0
