trial_id,recall,num_factors,scaling_items,scaling_users
0,0.16481956442631943,237,0.1783613547553555,0.6696938750181319
1,0.15271919131673373,300,0.15951255883916085,0.36219781757547737
2,0.17351152787110932,395,0.043454783923397904,0.5350827893475083
3,0.16296531544015078,323,0.09637202327993165,0.38456580332092966
4,0.1746233281611787,171,0.16856045460671595,0.7395263947369053
5,0.20252202760816918,238,0.029757937699070314,0.8353510062622161
6,0.20348684092345753,226,0.02590451711808255,0.8910228047461859
7,0.1636357281100427,466,0.0435596029215855,0.48275873818378134
8,0.16673721189194096,346,0.10243538920927533,0.6013678915688719
9,0.15952143237340452,389,0.14410019681158678,0.9460706009623044
10,0.17522121279230068,32,0.011339737734022845,0.9673743856413397
11,0.21060453829508347,174,0.0015943167294911846,0.8212170135927314
12,0.20866327627549439,129,0.0008718745154871389,0.8362338457727284
13,0.20860023612440917,103,0.002891902546083398,0.7807852923493896
14,0.20044641291908652,135,0.07348950239386165,0.7158089963875264
15,0.18502130462324076,32,0.06643937824244636,0.8319474121510002
16,0.19014944352984803,97,0.13067805105816105,0.8750497232873432
17,0.21186173505774683,195,0.0005296773716811603,0.6177086565432995
18,0.19778849674260782,173,0.062014211351688345,0.6147018950350903
19,0.1659621397970432,177,0.19561717527305328,0.504048178417909
20,0.1774953327394688,283,0.09687580160507646,0.6744578835439266
21,0.20563439572001183,82,0.00599195860313426,0.7815038238053991
22,0.21042848396729535,132,0.025554624870613843,0.5771301198268515
23,0.20309367834800868,202,0.025392631698120775,0.5768598461849307
24,0.20797171363748382,62,0.04386065162487149,0.43737706829516054
25,0.21029065398943964,145,0.018607854173245814,0.5590736157633809
26,0.20211218960438507,207,0.03511923403827124,0.6517742564583454
27,0.18056442530921135,263,0.0596795316335973,0.44617379130734436
28,0.21180497044178787,123,0.015396185097517268,0.725036233403868
29,0.19169475266106628,199,0.0817929449151942,0.7010705462868441
30,0.1979789620430913,57,0.0149002551671523,0.7869351529759661
31,0.21354895872822716,116,0.015465721704395047,0.6204406100140486
32,0.21469253153018125,159,0.0015599477871944736,0.6334939995073614
33,0.20718642108029545,112,0.046920852023081674,0.6279801928467682
34,0.20837274080086318,67,0.012186203266089534,0.6602581022720231
35,0.19294517841135392,162,0.03476401689494202,0.31789951522919296
36,0.18809945991025354,250,0.051043848770055994,0.5301926419023828
37,0.2065409782524154,220,0.019517001834700683,0.7377819684235377
38,0.20846444764666255,147,0.034534936378753815,0.6868690018396734
39,0.1703986369012118,308,0.10928650391148205,0.6242920673297865
40,0.18119589263799463,470,0.015999030343765295,0.7485657594523807
41,0.21331999841415103,180,0.0004612838961502892,0.7284487945143997
42,0.2105674668513111,187,0.010793467568804217,0.707726464880864
43,0.2112172400477163,116,0.02438206643576886,0.544219619494491
44,0.2059358277437638,234,0.0042867518074085256,0.5864153886659966
45,0.20750746095700792,157,0.0332364210277348,0.6521756978277262
46,0.1799852581384666,497,0.00969855315606141,0.7517698167705603
47,0.17267344475671859,12,0.0001950473407928803,0.6178873633724825
48,0.2052894372443189,96,0.052938257478924014,0.5043243709231707
49,0.20054298297480916,273,0.020880543132462074,0.7285523306677355
50,0.185347558531087,355,0.03735971764937403,0.6802181083078631
51,0.21109015024782618,116,0.02622705576577823,0.5560914047221109
52,0.21383857825522395,131,0.008509850393879546,0.5409619382811148
53,0.21362525795639345,180,0.00026973264905584364,0.6325530085517818
54,0.20573717160111907,190,0.0013720058258231108,0.45405519826211527
